nama,pusat,keunggulan
Barong Tongkok,Sendawar,"Pusat Pemerintahan, Perdagangan, & Jasa Utama"
Melak,Melak,"Pusat Logistik Sungai, Pelabuhan, & Ekonomi Kerakyatan"
Sekolaq Darat,Sekolaq Darat,"Pariwisata Budaya, Anggrek Hitam, & Kerajinan Tangan"
Linggang Bigung,Linggang Bigung,"Pertanian Hortikultura & Perkebunan Buah Lokal"
Bongan,Muara Kedang,"Gerbang Koridor Strategis IKN & Potensi Perkebunan"
Jempang,Tanjung Isuy,"Pariwisata Danau Jempang, Doyo Weaving, & Perikanan"
Muara Pahu,Tanjung Laong,"Konservasi Pesut Mahoni & Perikanan Air Tawar"
Penyinggahan,Penyinggahan,"Sentra Pengolahan Ikan Asin & Industri Perikanan"
Muara Lawa,Muara Lawa,"Situs Sejarah Budaya Dayak Benuaq & Pertambangan"
Damai,Damai,"Kehutanan, Hutan Adat, & Potensi Sumber Daya Alam"
Nyuatan,Dempar,"Pertanian Padi Gunung & Produk Alam Organik"
Tering,Tering Seberang,"Sentra Pertanian Padi Sawah & Komoditas Jagung"
Long Iram,Long Iram,"Kawasan Bersejarah Sejak Era Kolonial & Perdagangan"
Bentian Besar,Dilang Puti,"Sentra Kerajinan Rotan Dayak Bentian & Perkebunan"
Mook Manaar Bulatn,Gunung Bayan,"Potensi Perkebunan Kelapa Sawit & Ketahanan Pangan"
Siluq Ngurai,Muhur,"Pelestarian Hutan Konservasi & Adat Istiadat"
